trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
385,False,"{'a': 0.5, 'e': 0.0985730042585971}",30,20,-23.01364409650286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
386,False,"{'a': 0.5, 'e': 0.09798156623304552}",20,9,18.995757183000162,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.09739367683564724}",20,0,-12.695939970311333,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
388,False,"{'a': 0.5, 'e': 0.09680931477463335}",20,16,8.308027392316522,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.09622845888598555}",20,11,5.800812634726665,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.5, 'e': 0.09565108813266963}",20,0,30.210000763306585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,False,"{'a': 0.5, 'e': 0.09507718160387363}",20,0,20.25652014620478,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
392,False,"{'a': 0.5, 'e': 0.09450671851425038}",30,10,11.309425693695392,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.09393967820316487}",25,8,29.59391617162107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.09337604013394589}",30,14,27.873248737475762,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.5, 'e': 0.09281578389314221}",20,10,6.58203102774349,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.09225888918978335}",30,16,14.043515757879737,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.09170533585464466}",20,4,-0.7215370749263132,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
398,False,"{'a': 0.5, 'e': 0.09115510383951679}",20,14,11.286233765660416,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.09060817321647968}",20,15,11.18040480151827,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.0900645241771808}",20,16,9.046297921188808,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.08952413703211773}",25,12,26.692320498717187,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.08898699220992502}",30,20,17.46223147330124,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.08845307025666546}",20,0,-26.42326410888959,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
404,False,"{'a': 0.5, 'e': 0.08792235183512548}",20,11,18.117421098892688,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.08739481772411473}",20,2,24.492085379165875,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.08687044881777004}",20,8,14.522505190789214,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.08634922612486341}",25,10,27.081192462565326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.08583113076811423}",25,7,20.46368163870373,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': 0.08531614398350554}",35,8,15.08613027966347,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.0848042471196045}",20,0,-27.91066899404112,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
411,False,"{'a': 0.5, 'e': 0.08429542163688689}",20,11,15.627754300423716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': 0.08378964910706556}",30,8,36.7748627677648,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': 0.08328691121242317}",25,18,-6.319197952703936,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
414,False,"{'a': 0.5, 'e': 0.08278718974514862}",25,7,16.54137043871209,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.5, 'e': 0.08229046660667773}",20,8,0.4782753669625679,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.08179672380703767}",25,14,20.800373234341972,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.08130594346419544}",20,8,11.469539849753863,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.08081810780341027}",20,10,20.33734676181691,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': 0.0803331991565898}",20,8,21.077548525332872,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.5, 'e': 0.07985119996165027}",20,8,12.071462704034008,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
421,False,"{'a': 0.5, 'e': 0.07937209276188037}",20,16,9.23962479472382,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': 0.07889586020530909}",20,6,5.999067142141138,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
423,False,"{'a': 0.5, 'e': 0.07842248504407723}",20,12,17.940301790406963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': 0.07795195013381276}",20,10,16.355768694342856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.07748423843300989}",25,16,17.955803282133186,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.5, 'e': 0.07701933300241183}",20,12,-20.0672610104951,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
427,False,"{'a': 0.5, 'e': 0.07655721700439735}",20,16,7.766511417947596,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.5, 'e': 0.07609787370237098}",20,13,13.255843712562735,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.5, 'e': 0.07564128646015675}",30,15,22.80265545941757,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.5, 'e': 0.0751874387413958}",30,13,-3.0349677416325695,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': 0.07473631410894743}",20,14,10.608366576588507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.5, 'e': 0.07428789622429374}",25,15,14.268096622378543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.5, 'e': 0.07384216884694798}",25,18,14.19599192767145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.5, 'e': 0.0733991158338663}",20,13,14.520060163333618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.5, 'e': 0.07295872113886309}",25,16,18.118481154736493,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': 0.07252096881202992}",30,12,32.711010935313055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.5, 'e': 0.07208584299915774}",30,23,14.247497139703702,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': 0.07165332794116279}",20,0,31.099819679847695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.5, 'e': 0.07122340797351581}",30,15,28.700613627449577,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.5, 'e': 0.07079606752567472}",25,10,8.077346478303882,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.07037129112052067}",30,12,33.65552530164135,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.5, 'e': 0.06994906337379754}",25,18,13.457630052293329,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.5, 'e': 0.06952936899355476}",30,16,25.94571432266588,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.5, 'e': 0.06911219277959343}",25,13,18.95152202791631,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.5, 'e': 0.06869751962291587}",30,22,14.921598068757442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.06828533450517837}",20,15,9.237869239367825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.5, 'e': 0.0678756224981473}",35,22,23.424868835939005,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.5, 'e': 0.06746836876315841}",20,10,7.1834433374093445,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
449,False,"{'a': 0.5, 'e': 0.06706355855057947}",20,10,-4.831153588823039,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
450,False,"{'a': 0.5, 'e': 0.06666117719927599}",25,11,23.463723599207135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.5, 'e': 0.06626121013608033}",25,16,18.346200250657112,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.5, 'e': 0.06586364287526385}",35,0,42.930786708055734,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
453,False,"{'a': 0.5, 'e': 0.06546846101801226}",25,17,4.404489827149978,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
